Time (s),Signal (Green),BPM
37.31,71.84,120
37.36,71.84,120
37.39,65.71,96
37.43,68.81,120
37.49,65.6,96
37.56,67.91,120
37.61,62.56,180
37.64,74.58,96
37.68,70.85,96
37.73,71.82,96
37.78,68.79,120
37.84,64.2,120
37.89,67.88,120
37.92,66.63,120
37.96,65.5,120
38.01,69.12,120
38.06,66.92,120
38.09,66.68,120
38.13,66.79,120
38.16,69.01,120
38.19,69.01,120
38.23,67.61,120
38.26,67.0,120
38.29,62.47,120
38.34,65.36,120
38.38,64.49,120
38.42,60.34,120
38.46,57.24,120
38.49,58.96,120
38.53,62.08,120
38.58,61.87,120
38.61,62.94,120
38.64,56.67,120
38.68,55.03,180
38.71,61.73,120
38.74,56.47,120
38.8,61.41,120
38.83,61.04,72
38.87,58.1,120
38.9,55.61,120
38.94,62.7,72
38.98,58.87,120
39.02,61.55,120
39.06,61.55,120
39.1,59.45,120
39.14,60.47,120
39.18,60.48,120
39.21,60.08,120
39.26,63.22,72
39.3,58.3,72
39.34,61.83,72
39.38,62.03,144
39.41,64.37,120
39.44,53.71,72
39.48,56.06,72
39.51,59.73,144
39.55,49.2,48
39.6,50.02,120
39.63,55.53,72
39.67,50.88,120
39.7,57.37,72
39.73,51.0,72
39.76,48.94,72
39.79,51.52,72
39.83,54.57,72
39.86,54.57,72
39.9,55.53,72
39.95,57.14,72
40.0,59.13,72
40.04,56.43,120
40.11,55.45,120
40.14,59.18,72
40.19,61.86,72
40.22,62.15,72
40.26,59.77,60
40.29,59.77,72
40.33,57.16,72
40.36,58.86,60
40.4,59.37,72
40.44,61.84,72
40.48,57.02,72
40.51,64.3,72
40.56,55.45,72
40.59,58.6,72
40.64,57.03,72
40.68,63.16,72
40.72,51.97,48
40.78,56.17,72
40.81,56.17,60
40.87,50.54,60
40.91,58.46,72
40.95,61.33,60
40.99,66.18,72
41.03,60.99,72
41.06,59.14,72
41.09,59.09,72
41.13,58.38,72
41.17,60.33,72
41.21,60.33,72
41.25,56.59,72
41.29,60.17,72
41.33,62.66,72
41.36,62.41,60
41.39,57.09,72
41.43,61.65,72
41.46,62.92,72
41.5,55.71,72
41.53,52.67,72
41.6,47.69,60
41.64,54.25,72
41.68,47.34,60
41.71,48.3,72
41.74,51.03,60
41.78,53.83,72
41.81,54.64,72
41.85,48.48,72
41.88,48.69,72
41.91,50.29,72
41.95,50.5,72
41.98,51.76,72
42.01,57.37,72
42.05,53.32,72
42.08,58.41,72
42.11,55.14,72
42.14,56.91,72
42.18,57.21,72
42.21,55.48,72
42.25,58.69,72
42.28,57.9,72
42.35,52.69,72
42.38,57.99,72
42.41,58.47,72
42.46,59.81,72
42.5,56.84,72
42.55,53.35,72
42.6,56.29,72
42.63,54.38,72
42.66,56.25,72
42.7,69.62,72
42.73,59.17,72
42.77,60.43,72
42.8,60.26,72
42.83,51.75,60
42.87,59.39,72
42.9,62.34,72
42.93,62.02,72
42.96,57.52,60
42.99,56.81,72
43.03,55.22,72
43.06,57.84,72
43.09,60.84,72
43.12,60.06,60
43.16,54.61,72
43.19,54.05,72
43.23,64.48,60
43.26,57.32,60
43.31,55.42,72
43.35,64.86,72
43.38,61.42,72
43.41,57.44,72
43.45,58.01,60
43.48,58.03,72
43.52,65.36,72
43.55,60.4,72
43.58,56.98,60
43.61,55.28,60
43.66,56.62,60
43.7,57.55,60
43.75,55.68,60
43.78,55.84,60
43.82,55.8,60
43.85,61.09,60
43.88,64.73,72
43.91,56.48,60
43.95,59.49,60
43.98,52.92,72
44.01,53.82,72
44.05,52.85,72
44.07,55.68,72
44.11,48.58,72
44.14,48.61,72
44.18,54.25,60
44.21,55.63,60
44.25,57.55,60
44.28,54.03,60
44.32,53.02,60
44.35,50.71,72
44.38,51.44,60
44.41,56.47,60
44.45,52.22,72
44.49,56.73,72
44.53,48.78,60
44.56,50.7,60
44.6,56.77,72
44.65,51.25,60
44.69,54.49,72
44.75,57.69,72
44.8,59.13,72
44.83,58.8,72
44.9,54.65,60
44.95,55.94,60
44.99,62.41,60
45.03,61.28,60
45.06,57.47,72
45.1,58.46,72
45.15,55.97,72
45.18,60.78,72
45.21,60.48,72
45.26,64.84,60
45.3,57.86,72
45.33,62.13,60
45.36,58.91,48
45.39,58.04,48
45.43,56.74,48
45.48,59.25,72
45.53,57.59,72
45.56,59.41,72
45.59,58.86,72
45.63,61.7,72
45.66,60.12,72
45.7,55.21,156
45.73,55.77,156
45.77,56.94,48
45.79,57.99,48
45.83,55.88,72
45.86,58.05,156
45.9,58.19,48
45.93,56.41,156
45.96,58.8,48
46.0,51.8,72
46.03,59.1,48
46.06,57.44,48
46.11,60.74,48
46.14,55.81,156
46.18,69.73,48
46.21,61.7,48
46.26,58.54,48
46.3,61.8,48
46.35,54.82,48
46.38,62.04,48
46.41,58.74,48
46.45,55.76,96
46.48,56.07,48
46.52,61.44,48
46.56,59.24,48
46.6,58.58,48
46.65,58.55,96
46.68,54.19,48
46.71,55.98,96
46.75,60.6,96
46.78,58.37,48
46.82,54.15,48
46.85,63.66,48
46.9,55.96,48
46.93,58.21,48
46.97,53.09,48
47.0,55.52,48
47.03,51.37,120
47.07,53.32,48
47.09,60.18,120
47.12,57.16,120
47.15,59.96,48
47.19,59.7,48
47.22,52.26,144
47.27,58.09,48
47.31,55.44,144
47.35,56.04,120
47.38,58.6,48
47.41,50.29,120
47.44,60.95,144
47.48,56.24,120
47.51,53.91,60
47.55,59.35,120
47.6,57.93,120
47.63,56.3,120
47.66,52.91,48
47.7,50.47,144
47.74,50.18,48
47.78,57.34,144
47.81,52.41,120
47.85,52.09,120
47.88,52.26,120
47.91,52.02,144
47.95,55.18,60
48.0,58.98,60
48.05,56.36,60
48.08,55.56,60
48.11,53.95,48
48.15,58.87,144
48.18,58.4,144
48.21,54.76,144
48.24,57.71,60
48.28,51.88,144
48.31,52.11,72
48.35,52.59,60
48.4,54.37,144
48.44,56.29,144
48.48,51.62,144
48.51,51.5,144
48.55,50.36,144
48.58,53.13,144
48.63,57.26,108
48.67,50.46,144
48.71,54.06,60
48.75,53.04,144
48.78,59.05,144
48.81,56.42,60
48.86,54.4,60
48.89,53.17,144
48.93,54.79,108
48.96,56.84,60
49.0,52.96,144
49.05,57.01,144
49.1,55.45,108
49.13,53.91,108
49.17,57.55,60
49.2,55.83,108
49.23,53.24,48
49.27,54.9,60
49.3,55.58,60
49.33,53.88,72
49.37,58.45,72
49.4,51.64,108
49.43,52.35,108
49.47,53.05,108
49.5,51.57,108
49.53,55.25,72
49.57,56.09,72
49.6,54.65,72
49.63,55.77,72
49.67,52.24,60
49.7,52.24,60
49.73,58.55,48
49.76,52.39,60
49.8,58.63,72
49.83,60.35,72
49.86,56.43,72
49.9,58.37,72
49.93,54.03,72
49.96,54.76,72
50.0,56.13,72
50.03,55.37,72
50.06,52.37,72
50.1,52.37,72
50.13,51.41,72
50.16,55.51,72
50.2,53.81,72
50.24,53.91,72
50.29,57.16,72
50.33,57.28,72
50.36,52.28,72
50.4,55.15,72
50.45,53.31,72
50.49,53.31,72
50.53,55.25,72
50.56,55.44,72
50.6,56.08,72
50.63,55.37,108
50.67,55.53,72
50.73,54.01,108
50.77,57.94,72
50.82,52.53,72
50.86,57.99,72
50.9,59.6,72
50.95,55.04,72
50.99,58.36,72
51.03,56.76,72
51.07,55.43,72
51.1,55.58,72
51.13,57.13,72
51.16,57.43,72
51.2,56.17,72
51.23,52.19,72
51.26,54.98,72
51.3,57.91,72
51.33,57.91,72
51.36,54.25,72
51.4,57.32,72
51.43,55.93,72
51.47,51.08,84
51.52,60.31,72
51.55,53.39,72
51.58,59.01,72
51.61,57.66,84
51.65,58.54,72
51.68,56.61,72
51.72,58.88,72
51.76,55.79,72
51.8,55.79,72
51.84,54.34,72
51.89,55.01,72
51.95,52.67,72
51.98,53.93,72
52.01,57.61,72
52.05,54.51,72
52.08,71.13,48
52.12,60.53,108
52.15,66.74,108
52.18,66.74,84
52.21,60.07,84
52.25,57.38,84
52.29,64.11,84
52.36,61.51,84
52.4,54.92,84
52.43,61.14,120
52.49,52.64,84
52.53,50.92,48
52.57,65.18,120
52.6,65.18,144
52.62,64.75,84
52.67,66.59,84
52.7,64.36,84
52.73,70.09,84
52.77,65.95,144
52.82,67.69,84
52.87,67.75,84
52.91,68.32,120
52.95,61.17,144
52.98,64.08,72
53.02,67.18,120
53.05,67.18,120
53.08,72.1,144
53.11,72.21,120
53.15,70.12,120
53.18,67.34,120
53.23,65.74,120
53.3,64.43,120
53.34,65.63,120
53.39,64.12,120
53.45,60.91,120
53.5,60.91,120
53.55,67.92,144
53.58,72.31,144
53.62,67.45,144
53.66,68.01,144
53.7,69.88,84
53.73,60.56,144
53.76,62.08,144
53.8,64.28,144
53.83,63.05,144
53.86,63.05,144
53.9,66.68,144
53.93,64.63,144
53.97,61.18,144
54.0,61.39,144
54.03,64.93,144
54.07,63.93,144
54.1,62.55,144
54.13,61.0,144
54.19,65.7,144
54.23,62.56,144
54.26,59.75,144
54.3,58.21,144
54.33,58.21,144
54.38,54.15,108
54.42,68.14,144
54.45,68.69,144
54.49,67.77,144
54.54,62.66,144
54.59,61.19,144
54.63,63.79,144
54.69,66.14,144
54.72,66.14,144
54.78,63.76,144
54.81,63.23,144
54.85,58.6,144
54.88,63.03,144
54.92,68.75,144
54.95,67.83,144
54.99,68.98,144
55.02,67.16,144
55.05,59.69,144
55.08,60.95,144
55.12,63.37,144
55.15,66.37,144
55.18,66.37,144
55.22,68.52,144
55.25,62.72,144
55.3,65.35,144
55.33,60.59,144
55.37,57.12,144
55.4,58.15,144
55.43,53.37,144
55.47,53.08,144
55.51,50.93,144
55.54,47.65,144
55.6,53.72,144
55.65,56.34,156
55.69,49.01,156
55.72,54.41,156
55.75,54.82,156
55.78,51.14,156
55.81,54.63,156
55.85,54.32,156
55.89,49.81,156
55.93,49.43,156
55.98,48.55,156
56.02,49.7,96
56.05,55.5,156
56.08,43.7,96
56.12,50.7,156
56.15,52.94,156
56.18,52.21,156
56.22,53.78,156
56.27,57.96,156
56.3,60.09,156
56.33,58.89,156
56.35,53.33,156
56.41,59.1,156
56.45,45.89,132
56.48,41.96,48
56.53,35.11,60
56.57,35.52,60
56.61,31.68,48
56.65,39.28,132
56.68,47.5,132
56.72,46.93,132
56.77,35.56,132
56.82,36.97,132
56.85,43.91,132
56.88,34.6,132
56.92,41.48,132
